184,10,82
125,27,67
245,124,131
232,52,79
189,67,80
204,25,2
183,8,5
152,48,35
254,85,2
198,34,6
240,132,50
254,93,2
223,89,2
137,36,8
130,45,4
189,90,5
102,42,14
214,89,0
219,185,140
251,226,159
254,177,1
254,193,5
255,237,5
200,149,7
231,195,81
106,98,17
49,55,21
248,230,0
212,203,4
154,164,15
159,155,45
195,220,191
33,152,22
43,136,29
107,160,44
69,82,36
62,175,123
39,150,97
186,212,225
95,188,221
153,158,164
43,157,183
33,123,121
60,116,203
50,92,148
69,94,114
56,65,48
53,76,110
69,74,138
47,46,54
154,134,205
122,94,181
103,60,152
190,99,179
132,75,172
73,22,117
114,49,141
254,237,209
255,240,245
189,172,144
197,185,169
166,123,81
135,130,75
23,0,8
